"pop_id","individual"
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
1,222
1,223
1,224
1,225
1,226
1,227
1,228
1,229
1,230
1,231
1,232
1,233
1,234
1,235
1,236
1,237
1,238
1,239
1,240
1,241
1,242
1,243
1,244
1,245
1,246
1,247
1,248
1,249
2,250
2,251
2,252
2,253
2,254
2,255
2,256
2,257
2,258
2,259
2,260
2,261
2,262
2,263
2,264
2,265
2,266
2,267
2,268
2,269
2,270
2,271
2,272
2,273
2,274
2,275
2,276
2,277
2,278
2,279
2,280
2,281
2,282
2,283
2,284
2,285
2,286
2,287
2,288
2,289
2,290
2,291
2,292
2,293
2,294
2,295
2,296
2,297
2,298
2,299
3,300
3,301
3,302
3,303
3,304
3,305
3,306
3,307
3,308
3,309
3,310
3,311
3,312
3,313
3,314
3,315
3,316
3,317
3,318
3,319
3,320
3,321
3,322
3,323
3,324
3,325
3,326
3,327
3,328
3,329
3,330
3,331
3,332
3,333
3,334
3,335
3,336
3,337
3,338
3,339
3,340
3,341
3,342
3,343
3,344
3,345
3,346
3,347
3,348
3,349
4,350
4,351
4,352
4,353
4,354
4,355
4,356
4,357
4,358
4,359
4,360
4,361
4,362
4,363
4,364
4,365
4,366
4,367
4,368
4,369
4,370
4,371
4,372
4,373
4,374
4,375
4,376
4,377
4,378
4,379
4,380
4,381
4,382
4,383
4,384
4,385
4,386
4,387
4,388
4,389
4,390
4,391
4,392
4,393
4,394
4,395
4,396
4,397
4,398
4,399
5,400
5,401
5,402
5,403
5,404
5,405
5,406
5,407
5,408
5,409
5,410
5,411
5,412
5,413
5,414
5,415
5,416
5,417
5,418
5,419
5,420
5,421
5,422
5,423
5,424
5,425
5,426
5,427
5,428
5,429
5,430
5,431
5,432
5,433
5,434
5,435
5,436
5,437
5,438
5,439
5,440
5,441
5,442
5,443
5,444
5,445
5,446
5,447
5,448
5,449
6,450
6,451
6,452
6,453
6,454
6,455
6,456
6,457
6,458
6,459
6,460
6,461
6,462
6,463
6,464
6,465
6,466
6,467
6,468
6,469
6,470
6,471
6,472
6,473
6,474
6,475
6,476
6,477
6,478
6,479
6,480
6,481
6,482
6,483
6,484
6,485
6,486
6,487
6,488
6,489
6,490
6,491
6,492
6,493
6,494
6,495
6,496
6,497
6,498
6,499
7,500
7,501
7,502
7,503
7,504
7,505
7,506
7,507
7,508
7,509
7,510
7,511
7,512
7,513
7,514
7,515
7,516
7,517
7,518
7,519
7,520
7,521
7,522
7,523
7,524
7,525
7,526
7,527
7,528
7,529
7,530
7,531
7,532
7,533
7,534
7,535
7,536
7,537
7,538
7,539
7,540
7,541
7,542
7,543
7,544
7,545
7,546
7,547
7,548
7,549
8,550
8,551
8,552
8,553
8,554
8,555
8,556
8,557
8,558
8,559
8,560
8,561
8,562
8,563
8,564
8,565
8,566
8,567
8,568
8,569
8,570
8,571
8,572
8,573
8,574
8,575
8,576
8,577
8,578
8,579
8,580
8,581
8,582
8,583
8,584
8,585
8,586
8,587
8,588
8,589
8,590
8,591
8,592
8,593
8,594
8,595
8,596
8,597
8,598
8,599
9,600
9,601
9,602
9,603
9,604
9,605
9,606
