"pop_id","individual"
1,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,193
1,194
1,195
1,196
1,197
1,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
1,222
1,223
1,224
1,225
1,226
1,227
1,228
1,229
2,230
2,231
2,232
2,233
2,234
2,235
2,236
2,237
2,238
2,239
2,240
2,241
2,242
2,243
2,244
2,245
2,246
2,247
2,248
2,249
2,250
2,251
2,252
2,253
2,254
2,255
2,256
2,257
2,258
2,259
2,260
2,261
2,262
2,263
2,264
2,265
2,266
2,267
2,268
2,269
2,270
2,271
2,272
2,273
2,274
2,275
2,276
2,277
2,278
2,279
3,280
3,281
3,282
3,283
3,284
3,285
3,286
3,287
3,288
3,289
3,290
3,291
3,292
3,293
3,294
3,295
3,296
3,297
3,298
3,299
3,300
3,301
3,302
3,303
3,304
3,305
3,306
3,307
3,308
3,309
3,310
3,311
3,312
3,313
3,314
3,315
3,316
3,317
3,318
3,319
3,320
3,321
3,322
3,323
3,324
3,325
3,326
3,327
3,328
3,329
4,330
4,331
4,332
4,333
4,334
4,335
4,336
4,337
4,338
4,339
4,340
4,341
4,342
4,343
4,344
4,345
4,346
4,347
4,348
4,349
4,350
4,351
4,352
4,353
4,354
4,355
4,356
4,357
4,358
4,359
4,360
4,361
4,362
4,363
4,364
4,365
4,366
4,367
4,368
4,369
4,370
4,371
4,372
4,373
4,374
4,375
4,376
4,377
4,378
4,379
5,380
5,381
5,382
5,383
5,384
5,385
5,386
5,387
5,388
5,389
5,390
5,391
5,392
5,393
5,394
5,395
5,396
5,397
5,398
5,399
5,400
5,401
5,402
5,403
5,404
5,405
5,406
5,407
5,408
5,409
5,410
5,411
5,412
5,413
5,414
5,415
5,416
5,417
5,418
5,419
5,420
5,421
5,422
5,423
5,424
5,425
5,426
5,427
5,428
5,429
6,430
6,431
6,432
6,433
6,434
6,435
6,436
6,437
6,438
6,439
6,440
6,441
6,442
6,443
6,444
6,445
6,446
6,447
6,448
6,449
6,450
6,451
6,452
6,453
6,454
6,455
6,456
6,457
6,458
6,459
6,460
6,461
6,462
6,463
6,464
6,465
6,466
6,467
6,468
6,469
6,470
6,471
6,472
6,473
6,474
6,475
6,476
6,477
6,478
6,479
7,480
7,481
7,482
7,483
7,484
7,485
7,486
7,487
7,488
7,489
7,490
7,491
7,492
7,493
7,494
7,495
7,496
7,497
7,498
7,499
7,500
7,501
7,502
7,503
7,504
7,505
7,506
7,507
7,508
7,509
7,510
7,511
7,512
7,513
7,514
7,515
7,516
7,517
7,518
7,519
7,520
7,521
7,522
7,523
7,524
7,525
7,526
7,527
7,528
7,529
8,530
8,531
8,532
8,533
8,534
8,535
8,536
8,537
8,538
8,539
8,540
8,541
8,542
8,543
8,544
8,545
8,546
8,547
8,548
8,549
8,550
8,551
8,552
8,553
8,554
8,555
8,556
8,557
8,558
8,559
8,560
8,561
8,562
8,563
8,564
8,565
8,566
8,567
8,568
8,569
8,570
8,571
8,572
8,573
8,574
8,575
8,576
8,577
8,578
8,579
9,580
9,581
9,582
9,583
9,584
9,585
9,586
9,587
9,588
9,589
9,590
9,591
9,592
9,593
9,594
9,595
9,596
9,597
9,598
9,599
9,600
9,601
9,602
9,603
9,604
9,605
9,606
9,607
9,608
9,609
9,610
9,611
9,612
9,613
9,614
9,615
9,616
9,617
9,618
9,619
9,620
9,621
9,622
9,623
9,624
9,625
9,626
9,627
9,628
9,629
10,630
10,631
10,632
10,633
10,634
10,635
10,636
10,637
10,638
10,639
10,640
10,641
10,642
10,643
10,644
10,645
10,646
10,647
10,648
10,649
10,650
10,651
10,652
10,653
10,654
10,655
10,656
10,657
10,658
10,659
10,660
10,661
10,662
10,663
10,664
10,665
10,666
10,667
10,668
10,669
10,670
10,671
10,672
10,673
10,674
10,675
10,676
10,677
10,678
10,679
11,680
11,681
11,682
11,683
11,684
11,685
11,686
11,687
11,688
11,689
11,690
11,691
11,692
11,693
11,694
11,695
11,696
11,697
11,698
11,699
11,700
11,701
11,702
11,703
11,704
11,705
11,706
11,707
11,708
11,709
11,710
11,711
11,712
11,713
11,714
11,715
11,716
11,717
11,718
11,719
11,720
11,721
11,722
11,723
11,724
11,725
11,726
11,727
11,728
11,729
12,730
12,731
12,732
12,733
12,734
12,735
12,736
12,737
12,738
12,739
12,740
12,741
12,742
12,743
12,744
12,745
12,746
12,747
12,748
12,749
